Season,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,DRIVES,DRIVE_FGM,DRIVE_FGA,DRIVE_FG_PCT,DRIVE_FTM,DRIVE_FTA,DRIVE_FT_PCT,DRIVE_PTS,DRIVE_PTS_PCT,DRIVE_PASSES,DRIVE_PASSES_PCT,DRIVE_AST,DRIVE_AST_PCT,DRIVE_TOV,DRIVE_TOV_PCT,DRIVE_PF,DRIVE_PF_PCT
2025-26,1630639,A.J. Lawson,1610612761,TOR,2,0,2,8.2,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-26,1631260,AJ Green,1610612749,MIL,24,10,14,28.5,1.2,0.1,0.2,0.4,0.0,0.0,0.0,0.2,0.143,0.9,0.786,0.1,0.071,0.0,0.036,0.0,0.0
2025-26,1642358,AJ Johnson,1610612764,WAS,11,0,11,4.4,1.4,0.0,0.7,0.0,0.2,0.2,1.0,0.2,0.133,0.5,0.4,0.2,0.133,0.0,0.0,0.1,0.067
2025-26,203932,Aaron Gordon,1610612743,DEN,13,10,3,28.3,2.9,0.8,1.8,0.458,1.2,1.4,0.889,3.1,1.053,0.2,0.079,0.1,0.026,0.0,0.0,0.7,0.237
2025-26,1628988,Aaron Holiday,1610612745,HOU,20,15,5,16.0,3.0,0.7,1.2,0.583,0.4,0.4,0.875,1.9,0.644,1.4,0.458,0.3,0.085,0.1,0.034,0.2,0.068
2025-26,1630174,Aaron Nesmith,1610612754,IND,11,1,10,30.4,6.7,1.4,3.6,0.375,0.8,0.9,0.9,3.7,0.554,2.2,0.324,0.2,0.027,0.2,0.027,0.5,0.068
2025-26,1630598,Aaron Wiggins,1610612760,OKC,16,14,2,24.1,5.1,0.9,2.4,0.395,0.4,0.5,0.75,2.3,0.439,1.8,0.354,0.5,0.098,0.6,0.11,0.3,0.049
2025-26,1642846,Ace Bailey,1610612762,UTA,27,10,17,24.1,3.4,0.7,1.4,0.462,0.4,0.4,1.0,1.7,0.495,1.4,0.419,0.4,0.108,0.3,0.075,0.2,0.054
2025-26,1641737,Adem Bona,1610612755,PHI,19,13,6,16.5,0.5,0.1,0.2,0.333,0.1,0.2,0.5,0.2,0.4,0.3,0.5,0.0,0.0,0.0,0.0,0.1,0.2
2025-26,1642876,Adou Thiero,1610612747,LAL,11,7,4,5.5,0.6,0.1,0.3,0.333,0.0,0.0,0.0,0.3,0.429,0.2,0.286,0.0,0.0,0.2,0.286,0.0,0.0
